Var,Family
ASV_1065,f__Acidaminococcaceae
ASV_530,f__Acidaminococcaceae
ASV_1101,f__Actinomycetaceae
ASV_1221,f__Actinomycetaceae
ASV_1018,f__Actinomycetaceae
ASV_920,f__Aerococcaceae
ASV_1177,f__Anaerovoracaceae
ASV_857,f__Atopobiaceae
ASV_462,f__Bacteroidaceae
ASV_362,f__Bacteroidaceae
ASV_547,f__Bacteroidaceae
ASV_654,f__Bacteroidaceae
ASV_614,f__Bacteroidaceae
ASV_529,f__Bacteroidaceae
ASV_605,f__Bacteroidaceae
ASV_845,f__Bacteroidaceae
ASV_837,f__Bacteroidaceae
ASV_524,f__Bacteroidaceae
ASV_747,f__Bacteroidaceae
ASV_678,f__Bacteroidaceae
ASV_290,f__Bacteroidaceae
ASV_460,f__Bacteroidaceae
ASV_584,f__Bacteroidaceae
ASV_1127,f__Bacteroidaceae
ASV_1223,f__Bacteroidaceae
ASV_275,f__Bacteroidaceae
ASV_180,f__Barnesiellaceae
ASV_1217,f__Burkholderiaceae
ASV_757,f__Butyricicoccaceae
ASV_906,f__Butyricicoccaceae
ASV_1079,f__Butyricicoccaceae
ASV_886,f__Chloroplast
ASV_1100,f__Christensenellaceae
ASV_1219,f__Christensenellaceae
ASV_161,f__Clostridia_UCG-014
ASV_1256,f__Clostridiaceae
ASV_700,f__Desulfovibrionaceae
ASV_1220,f__Eggerthellaceae
ASV_898,f__Enterobacteriaceae
ASV_562,f__Enterobacteriaceae
ASV_893,f__Enterobacteriaceae
ASV_993,f__Enterobacteriaceae
ASV_887,f__Erysipelatoclostridiaceae
ASV_785,f__Erysipelotrichaceae
ASV_1181,f__Erysipelotrichaceae
ASV_881,f__Erysipelotrichaceae
ASV_357,f__Fusobacteriaceae
ASV_695,f__Fusobacteriaceae
ASV_84,f__Fusobacteriaceae
ASV_1253,f__Lachnospiraceae
ASV_1003,f__Lachnospiraceae
ASV_1102,f__Lachnospiraceae
ASV_1078,f__Lachnospiraceae
ASV_836,f__Lachnospiraceae
ASV_572,f__Lachnospiraceae
ASV_1016,f__Lachnospiraceae
ASV_1036,f__Lachnospiraceae
ASV_1218,f__Lachnospiraceae
ASV_333,f__Lachnospiraceae
ASV_619,f__Lachnospiraceae
ASV_955,f__Lachnospiraceae
ASV_1039,f__Lachnospiraceae
ASV_770,f__Lachnospiraceae
ASV_599,f__Lachnospiraceae
ASV_748,f__Lachnospiraceae
ASV_1178,f__Lachnospiraceae
ASV_871,f__Lachnospiraceae
ASV_495,f__Lachnospiraceae
ASV_545,f__Lachnospiraceae
ASV_456,f__Lachnospiraceae
ASV_431,f__Lachnospiraceae
ASV_378,f__Lachnospiraceae
ASV_420,f__Lachnospiraceae
ASV_523,f__Lachnospiraceae
ASV_811,f__Lactobacillaceae
ASV_1152,f__Lactobacillaceae
ASV_827,f__Marinifilaceae
ASV_343,f__Marinifilaceae
ASV_775,f__Marinifilaceae
ASV_944,f__Marinifilaceae
ASV_954,f__Marinifilaceae
ASV_1015,f__Marinifilaceae
ASV_1150,f__Marinifilaceae
ASV_766,f__Marinifilaceae
ASV_245,f__Marinifilaceae
ASV_656,f__Oxalobacteraceae
ASV_642,f__Pasteurellaceae
ASV_826,f__Pasteurellaceae
ASV_1037,f__Pasteurellaceae
ASV_994,f__Pasteurellaceae
ASV_1151,f__Prevotellaceae
ASV_625,f__Prevotellaceae
ASV_1002,f__Rikenellaceae
ASV_660,f__Rikenellaceae
ASV_973,f__Rikenellaceae
ASV_220,f__Rikenellaceae
ASV_322,f__Ruminococcaceae
ASV_480,f__Ruminococcaceae
ASV_831,f__Ruminococcaceae
ASV_1179,f__Ruminococcaceae
ASV_779,f__Ruminococcaceae
ASV_1180,f__Ruminococcaceae
ASV_42,f__Ruminococcaceae
ASV_69,f__Ruminococcaceae
ASV_428,f__Ruminococcaceae
ASV_140,f__Ruminococcaceae
ASV_1051,f__Saccharimonadaceae
ASV_1182,f__Saccharimonadaceae
ASV_933,f__Saccharimonadaceae
ASV_825,f__Saccharimonadales
ASV_1222,f__Spirochaetaceae
ASV_448,f__Streptococcaceae
ASV_514,f__Sutterellaceae
ASV_1066,f__Tannerellaceae
ASV_921,f__Tannerellaceae
ASV_972,f__Tannerellaceae
ASV_274,f__Tannerellaceae
ASV_1255,f__Veillonellaceae
ASV_236,f__Veillonellaceae
ASV_504,f__Veillonellaceae
ASV_124,f__Veillonellaceae
ASV_1149,f__Veillonellaceae
ASV_1148,f__Veillonellaceae
ASV_895,f__Veillonellaceae
ASV_655,f__Veillonellaceae
ASV_897,f__Veillonellaceae
ASV_1254,Others
